property_id,check_in_date,room_category,successful_bookings,capacity,remaining_rooms
16559,2022-05-01,RT1,25,30,5
19562,2022-05-01,RT1,28,30,2
19563,2022-05-01,RT1,23,30,7
17558,2022-05-01,RT1,13,19,6
16558,2022-05-01,RT1,18,19,1
17560,2022-05-01,RT1,28,40,12
19558,2022-05-01,RT1,25,40,15
19560,2022-05-01,RT1,23,26,3
17561,2022-05-01,RT1,22,26,4
16560,2022-05-01,RT1,24,34,10
16561,2022-05-01,RT1,16,18,2
16562,2022-05-01,RT1,20,31,11
16563,2022-05-01,RT1,36,41,5
17559,2022-05-01,RT1,26,32,6
17562,2022-05-01,RT1,12,20,8
17563,2022-05-01,RT1,21,25,4
18558,2022-05-01,RT1,11,15,4
18559,2022-05-01,RT1,29,42,13
18561,2022-05-01,RT1,31,33,2
18562,2022-05-01,RT1,34,38,4
18563,2022-05-01,RT1,18,27,9
19559,2022-05-01,RT1,18,24,6
19561,2022-05-01,RT1,25,36,11
17564,2022-05-01,RT1,9,16,7
19562,2022-05-01,RT2,23,23,0
18563,2022-05-01,RT2,21,29,8
17561,2022-05-01,RT2,32,36,4
17558,2022-05-01,RT2,38,50,12
16562,2022-05-01,RT2,30,43,13
16561,2022-05-01,RT2,24,24,0
16558,2022-05-01,RT2,21,22,1
19560,2022-05-01,RT2,37,38,1
16563,2022-05-01,RT2,37,38,1
16559,2022-05-01,RT2,35,41,6
19559,2022-05-01,RT2,32,41,9
19558,2022-05-01,RT2,25,39,14
17559,2022-05-01,RT2,34,39,5
16560,2022-05-01,RT2,25,34,9
18562,2022-05-01,RT2,33,34,1
18559,2022-05-01,RT2,29,44,15
17563,2022-05-01,RT2,40,44,4
17562,2022-05-01,RT2,19,30,11
18558,2022-05-01,RT2,21,30,9
17564,2022-05-01,RT2,25,40,15
18561,2022-05-01,RT2,35,40,5
18560,2022-05-01,RT2,34,40,6
17560,2022-05-01,RT2,31,45,14
19561,2022-05-01,RT2,35,45,10
19563,2022-05-01,RT2,36,45,9
19563,2022-05-01,RT3,20,29,9
18560,2022-05-01,RT1,27,30,3
19562,2022-05-01,RT3,25,29,4
19561,2022-05-01,RT3,23,29,6
18562,2022-05-01,RT3,28,29,1
17558,2022-05-01,RT3,21,27,6
17562,2022-05-01,RT3,15,27,12
19559,2022-05-01,RT3,19,27,8
16559,2022-05-01,RT3,27,32,5
17560,2022-05-01,RT3,19,25,6
18561,2022-05-01,RT3,23,25,2
16561,2022-05-01,RT3,21,21,0
16563,2022-05-01,RT3,17,20,3
17561,2022-05-01,RT3,16,19,3
18558,2022-05-01,RT3,18,26,8
18560,2022-05-01,RT3,21,24,3
18563,2022-05-01,RT3,16,23,7
19560,2022-05-01,RT3,16,19,3
17564,2022-05-01,RT3,16,24,8
16560,2022-05-01,RT3,15,20,5
16558,2022-05-01,RT3,8,8,0
19558,2022-05-01,RT3,13,21,8
16562,2022-05-01,RT3,14,18,4
17559,2022-05-01,RT3,14,16,2
17563,2022-05-01,RT3,14,16,2
18559,2022-05-01,RT3,14,23,9
19559,2022-05-01,RT4,2,3,1
16562,2022-05-01,RT4,4,6,2
17558,2022-05-01,RT4,4,6,2
17562,2022-05-01,RT4,4,6,2
19563,2022-05-01,RT4,4,6,2
19558,2022-05-01,RT4,4,7,3
19561,2022-05-01,RT4,5,7,2
16560,2022-05-01,RT4,6,7,1
16561,2022-05-01,RT4,9,10,1
17560,2022-05-01,RT4,10,13,3
18561,2022-05-01,RT4,8,9,1
17564,2022-05-01,RT4,9,17,8
18560,2022-05-01,RT4,14,15,1
19560,2022-05-01,RT4,15,16,1
18559,2022-05-01,RT4,11,19,8
17563,2022-05-01,RT4,17,19,2
19562,2022-05-01,RT4,13,14,1
17559,2022-05-01,RT4,13,14,1
18558,2022-05-01,RT4,14,20,6
18562,2022-05-01,RT4,19,20,1
18563,2022-05-01,RT4,13,18,5
16563,2022-05-01,RT4,17,18,1
16559,2022-05-01,RT4,17,18,1
17561,2022-05-01,RT4,3,4,1
16558,2022-05-01,RT4,3,3,0
16559,2022-05-02,RT1,20,30,10
18560,2022-05-02,RT1,21,30,9
19562,2022-05-02,RT1,20,30,10
19563,2022-05-02,RT1,14,30,16
17558,2022-05-02,RT1,10,19,9
16558,2022-05-02,RT1,12,19,7
17560,2022-05-02,RT1,22,40,18
19558,2022-05-02,RT1,16,40,24
19560,2022-05-02,RT1,14,26,12
17561,2022-05-02,RT1,15,26,11
16560,2022-05-02,RT1,17,34,17
16561,2022-05-02,RT1,11,18,7
16562,2022-05-02,RT1,17,31,14
16563,2022-05-02,RT1,25,41,16
17559,2022-05-02,RT1,20,32,12
17562,2022-05-02,RT1,9,20,11
17563,2022-05-02,RT1,15,25,10
18558,2022-05-02,RT1,8,15,7
18559,2022-05-02,RT1,17,42,25
18561,2022-05-02,RT1,24,33,9
18562,2022-05-02,RT1,22,38,16
18563,2022-05-02,RT1,14,27,13
19559,2022-05-02,RT1,13,24,11
19561,2022-05-02,RT1,20,36,16
17564,2022-05-02,RT1,7,16,9
19562,2022-05-02,RT2,15,23,8
18563,2022-05-02,RT2,15,29,14
17561,2022-05-02,RT2,23,36,13
17558,2022-05-02,RT2,27,50,23
16562,2022-05-02,RT2,21,43,22
16561,2022-05-02,RT2,16,24,8
16558,2022-05-02,RT2,14,22,8
19560,2022-05-02,RT2,21,38,17
16563,2022-05-02,RT2,23,38,15
16559,2022-05-02,RT2,23,41,18
19559,2022-05-02,RT2,19,41,22
19558,2022-05-02,RT2,17,39,22
17559,2022-05-02,RT2,26,39,13
16560,2022-05-02,RT2,17,34,17
18562,2022-05-02,RT2,17,34,17
18559,2022-05-02,RT2,18,44,26
17563,2022-05-02,RT2,28,44,16
17562,2022-05-02,RT2,14,30,16
18558,2022-05-02,RT2,14,30,16
17564,2022-05-02,RT2,16,40,24
18561,2022-05-02,RT2,25,40,15
18560,2022-05-02,RT2,26,40,14
17560,2022-05-02,RT2,23,45,22
19561,2022-05-02,RT2,22,45,23
19563,2022-05-02,RT2,20,45,25
19563,2022-05-02,RT3,14,29,15
19562,2022-05-02,RT3,18,29,11
19561,2022-05-02,RT3,17,29,12
18562,2022-05-02,RT3,18,29,11
17558,2022-05-02,RT3,12,27,15
17562,2022-05-02,RT3,12,27,15
19559,2022-05-02,RT3,14,27,13
16559,2022-05-02,RT3,20,32,12
16558,2022-05-02,RT3,5,8,3
18561,2022-05-02,RT3,18,25,7
18558,2022-05-02,RT3,15,26,11
16561,2022-05-02,RT3,13,21,8
16563,2022-05-02,RT3,13,20,7
17560,2022-05-02,RT3,13,25,12
18560,2022-05-02,RT3,14,24,10
17559,2022-05-02,RT3,9,16,7
17563,2022-05-02,RT3,9,16,7
18559,2022-05-02,RT3,9,23,14
19558,2022-05-02,RT3,9,21,12
17564,2022-05-02,RT3,9,24,15
16560,2022-05-02,RT3,10,20,10
17561,2022-05-02,RT3,10,19,9
16562,2022-05-02,RT3,11,18,7
18563,2022-05-02,RT3,11,23,12
19560,2022-05-02,RT3,11,19,8
19559,2022-05-02,RT4,2,3,1
16558,2022-05-02,RT4,2,3,1
17558,2022-05-02,RT4,4,6,2
19563,2022-05-02,RT4,4,6,2
19558,2022-05-02,RT4,4,7,3
19561,2022-05-02,RT4,4,7,3
18561,2022-05-02,RT4,5,9,4
16561,2022-05-02,RT4,6,10,4
17560,2022-05-02,RT4,6,13,7
17564,2022-05-02,RT4,6,17,11
18560,2022-05-02,RT4,11,15,4
19560,2022-05-02,RT4,11,16,5
18559,2022-05-02,RT4,9,19,10
17563,2022-05-02,RT4,12,19,7
19562,2022-05-02,RT4,8,14,6
17559,2022-05-02,RT4,8,14,6
18558,2022-05-02,RT4,10,20,10
18562,2022-05-02,RT4,12,20,8
18563,2022-05-02,RT4,11,18,7
16563,2022-05-02,RT4,12,18,6
16559,2022-05-02,RT4,12,18,6
16562,2022-05-02,RT4,3,6,3
17562,2022-05-02,RT4,3,6,3
